Row Labels,Average of DCOILBRENTEU
2000-01,25.511
2000-02,27.77571429
2000-03,27.48608696
2000-04,22.76444444
2000-05,27.73761905
2000-06,29.79545455
2000-07,28.68238095
2000-08,30.19608696
2000-09,33.1447619
2000-10,30.96090909
2000-11,32.55227273
2000-12,25.66
2001-01,25.62454545
2001-02,27.5035
2001-03,24.49727273
2001-04,25.65714286
2001-05,28.31363636
2001-06,27.84904762
2001-07,24.61363636
2001-08,25.68
2001-09,25.6195
2001-10,20.53782609
2001-11,18.79727273
2001-12,18.70526316
2002-01,19.41681818
2002-02,20.2755
2002-03,23.69666667
2002-04,25.72863636
2002-05,25.34545455
2002-06,24.08166667
2002-07,25.73608696
2002-08,26.65136364
2002-09,28.39952381
2002-10,27.54304348
2002-11,24.3352381
2002-12,28.3345
2003-01,31.18363636
2003-02,32.771
2003-03,30.61238095
2003-04,25.06772727
2003-05,25.85772727
2003-06,27.65285714
2003-07,28.34869565
2003-08,29.88809524
2003-09,27.11227273
2003-10,29.60782609
2003-11,28.7525
2003-12,29.80714286
2004-01,31.28095238
2004-02,30.8585
2004-03,33.63434783
2004-04,33.59090909
2004-05,37.56761905
2004-06,35.18363636
2004-07,38.22136364
2004-08,42.74409091
2004-09,43.19681818
2004-10,49.77666667
2004-11,43.11045455
2004-12,39.60217391
2005-01,44.509
2005-02,45.475
2005-03,53.10454545
2005-04,51.88380952
2005-05,48.64545455
2005-06,54.35454545
2005-07,57.52
2005-08,63.98347826
2005-09,62.90818182
2005-10,58.53857143
2005-11,55.24181818
2005-12,56.85571429
2006-01,62.9852381
2006-02,60.21
2006-03,62.06478261
2006-04,70.26
2006-05,69.77695652
2006-06,68.55590909
2006-07,73.67428571
2006-08,73.23043478
2006-09,61.95857143
2006-10,57.80818182
2006-11,58.76136364
2006-12,62.47210526
2007-01,53.68142857
2007-02,57.55578947
2007-03,62.05045455
2007-04,67.48578947
2007-05,67.21227273
2007-06,71.04571429
2007-07,76.93
2007-08,70.76086957
2007-09,77.17315789
2007-10,82.34
2007-11,92.41428571
2007-12,90.92684211
2008-01,92.17809524
2008-02,94.9865
2008-03,103.6355
2008-04,109.0713636
2008-05,122.7971429
2008-06,132.322381
2008-07,132.7181818
2008-08,113.2433333
2008-09,97.2347619
2008-10,71.58217391
2008-11,52.45263158
2008-12,39.94681818
2009-01,43.4395
2009-02,43.32473684
2009-03,46.54045455
2009-04,50.18190476
2009-05,57.3025
2009-06,68.60954545
2009-07,64.43545455
2009-08,72.50857143
2009-09,67.64619048
2009-10,72.76954545
2009-11,76.662
2009-12,74.45636364
2010-01,76.16736842
2010-02,73.75210526
2010-03,78.8273913
2010-04,84.81761905
2010-05,75.9455
2010-06,74.76090909
2010-07,75.58
2010-08,77.03954545
2010-09,77.84047619
2010-10,82.6647619
2010-11,85.2747619
2010-12,91.44681818
2011-01,96.5235
2011-02,103.7163158
2011-03,114.6434783
2011-04,123.2588889
2011-05,114.9890476
2011-06,113.8331818
2011-07,116.9735
2011-08,110.2195455
2011-09,112.8338095
2011-10,109.55
2011-11,110.7680952
2011-12,107.8705
2012-01,110.686
2012-02,119.327
2012-03,125.4454545
2012-04,119.4216667
2012-05,110.3395238
2012-06,95.15571429
2012-07,102.6185714
2012-08,113.356087
2012-09,112.8636842
2012-10,111.7108696
2012-11,109.0585714
2012-12,109.494
2013-01,112.96
2013-02,116.0505263
2013-03,108.474
2013-04,102.2481818
2013-05,102.5586364
2013-06,102.9195
2013-07,107.9331818
2013-08,111.2804545
2013-09,111.5965
2013-10,109.0765217
2013-11,107.792
2013-12,110.7566667
2014-01,108.1177273
2014-02,108.9005263
2014-03,107.4809524
2014-04,107.7552381
2014-05,109.5390909
2014-06,111.7952381
2014-07,106.7681818
2014-08,101.6080952
2014-09,97.09142857
2014-10,87.42521739
2014-11,79.43789474
2014-12,62.335
2015-01,47.7595
2015-02,58.0955
2015-03,55.88545455
2015-04,59.52428571
2015-05,64.075
2015-06,61.47772727
2015-07,56.56130435
2015-08,46.515
2015-09,47.62318182
2015-10,48.43
2015-11,44.26761905
2015-12,38.00545455
2016-01,30.6995
2016-02,32.1815
2016-03,38.21045455
2016-04,41.58333333
2016-05,46.74238095
2016-06,48.24727273
2016-07,44.95190476
2016-08,45.84304348
2016-09,46.56772727
2016-10,49.52238095
2016-11,44.73409091
2016-12,53.3085
2017-01,54.57666667
2017-02,54.8695
2017-03,51.58913043
2017-04,52.30789474
2017-05,50.32652174
2017-06,46.36818182
2017-07,48.47857143
2017-08,51.70434783
2017-09,56.15285714
2017-10,57.50772727
2017-11,62.71409091
2017-12,64.37368421
2018-01,69.07727273
2018-02,65.3175
2018-03,66.01666667
2018-04,72.106
2018-05,76.9752381
2018-06,74.4047619
2018-07,74.25409091
2018-08,72.52826087
2018-09,78.891
2018-10,81.03217391
2018-11,64.74818182
2018-12,57.36235294
2019-01,59.40954545
2019-02,63.9605
2019-03,66.13857143
2019-04,71.23333333
2019-05,71.31772727
2019-06,64.2205
2019-07,63.91913043
2019-08,59.04181818
2019-09,62.82666667
2019-10,59.71304348
2019-11,63.21190476
2019-12,67.21714286
2020-01,63.64545455
2020-02,55.657
2020-03,32.01136364
2020-04,18.3785
2020-05,29.37894737
2020-06,40.26681818
2020-07,43.24217391
2020-08,44.736
2020-09,40.90954545
2020-10,40.18954545
2020-11,42.69238095
2020-12,49.99363636
2021-01,54.774
2021-02,62.2765
2021-03,65.41
2021-04,64.8065
2021-05,68.53421053
2021-06,73.16409091
2021-07,75.16590909
2021-08,70.74714286
2021-09,74.48863636
2021-10,83.53809524
2021-11,81.05
2021-12,74.17047619
2022-01,86.5052381
2022-02,97.129
2022-03,117.2452174
2022-04,104.5752632
2022-05,113.337619
2022-06,122.7109524
2022-07,111.9257143
2022-08,100.4463636
2022-09,89.7647619
2022-10,93.33190476
2022-11,91.41545455
2022-12,80.924
Grand Total,65.22731039
