observation_date,INDLORSGPNOSTSAM
2000-01-01,101.46720
2000-02-01,101.43750
2000-03-01,101.38300
2000-04-01,101.30580
2000-05-01,101.20970
2000-06-01,101.09860
2000-07-01,100.97630
2000-08-01,100.84650
2000-09-01,100.71350
2000-10-01,100.58290
2000-11-01,100.46060
2000-12-01,100.35200
2001-01-01,100.26120
2001-02-01,100.19060
2001-03-01,100.14070
2001-04-01,100.10880
2001-05-01,100.09100
2001-06-01,100.08230
2001-07-01,100.07750
2001-08-01,100.07170
2001-09-01,100.05930
2001-10-01,100.03410
2001-11-01,99.99071
2001-12-01,99.92495
2002-01-01,99.83537
2002-02-01,99.72266
2002-03-01,99.58938
2002-04-01,99.43969
2002-05-01,99.27901
2002-06-01,99.11373
2002-07-01,98.95096
2002-08-01,98.79828
2002-09-01,98.66343
2002-10-01,98.55402
2002-11-01,98.47655
2002-12-01,98.43533
2003-01-01,98.43122
2003-02-01,98.46252
2003-03-01,98.52553
2003-04-01,98.61502
2003-05-01,98.72478
2003-06-01,98.84800
2003-07-01,98.97761
2003-08-01,99.10660
2003-09-01,99.22833
2003-10-01,99.33684
2003-11-01,99.42784
2003-12-01,99.49983
2004-01-01,99.55515
2004-02-01,99.59808
2004-03-01,99.63300
2004-04-01,99.66344
2004-05-01,99.69158
2004-06-01,99.71855
2004-07-01,99.74480
2004-08-01,99.77050
2004-09-01,99.79588
2004-10-01,99.82155
2004-11-01,99.84843
2004-12-01,99.87751
2005-01-01,99.90974
2005-02-01,99.94555
2005-03-01,99.98454
2005-04-01,100.02490
2005-05-01,100.06470
2005-06-01,100.10250
2005-07-01,100.13890
2005-08-01,100.17520
2005-09-01,100.21270
2005-10-01,100.25210
2005-11-01,100.29320
2005-12-01,100.33590
2006-01-01,100.38020
2006-02-01,100.42640
2006-03-01,100.47550
2006-04-01,100.52970
2006-05-01,100.59080
2006-06-01,100.66010
2006-07-01,100.73680
2006-08-01,100.81950
2006-09-01,100.90690
2006-10-01,100.99870
2006-11-01,101.09510
2006-12-01,101.19590
2007-01-01,101.29940
2007-02-01,101.40320
2007-03-01,101.50440
2007-04-01,101.59980
2007-05-01,101.68610
2007-06-01,101.75990
2007-07-01,101.81810
2007-08-01,101.85720
2007-09-01,101.87270
2007-10-01,101.85900
2007-11-01,101.81050
2007-12-01,101.72380
2008-01-01,101.59780
2008-02-01,101.43400
2008-03-01,101.23560
2008-04-01,101.00660
2008-05-01,100.75170
2008-06-01,100.47680
2008-07-01,100.18870
2008-08-01,99.89539
2008-09-01,99.60633
2008-10-01,99.33258
2008-11-01,99.08624
2008-12-01,98.87984
2009-01-01,98.72572
2009-02-01,98.63303
2009-03-01,98.60462
2009-04-01,98.63634
2009-05-01,98.71854
2009-06-01,98.83984
2009-07-01,98.98973
2009-08-01,99.15965
2009-09-01,99.34303
2009-10-01,99.53527
2009-11-01,99.73315
2009-12-01,99.93432
2010-01-01,100.13660
2010-02-01,100.33800
2010-03-01,100.53650
2010-04-01,100.72990
2010-05-01,100.91580
2010-06-01,101.09080
2010-07-01,101.25100
2010-08-01,101.39160
2010-09-01,101.50830
2010-10-01,101.59730
2010-11-01,101.65540
2010-12-01,101.68070
2011-01-01,101.67220
2011-02-01,101.63040
2011-03-01,101.55710
2011-04-01,101.45590
2011-05-01,101.33140
2011-06-01,101.18990
2011-07-01,101.03850
2011-08-01,100.88450
2011-09-01,100.73400
2011-10-01,100.59050
2011-11-01,100.45590
2011-12-01,100.33100
2012-01-01,100.21580
2012-02-01,100.11020
2012-03-01,100.01370
2012-04-01,99.92592
2012-05-01,99.84637
2012-06-01,99.77417
2012-07-01,99.70795
2012-08-01,99.64629
2012-09-01,99.58812
2012-10-01,99.53314
2012-11-01,99.48151
2012-12-01,99.43356
2013-01-01,99.38953
2013-02-01,99.34966
2013-03-01,99.31430
2013-04-01,99.28397
2013-05-01,99.25922
2013-06-01,99.24049
2013-07-01,99.22781
2013-08-01,99.22085
2013-09-01,99.21884
2013-10-01,99.22048
2013-11-01,99.22443
2013-12-01,99.22986
2014-01-01,99.23688
2014-02-01,99.24593
2014-03-01,99.25713
2014-04-01,99.26961
2014-05-01,99.28208
2014-06-01,99.29333
2014-07-01,99.30273
2014-08-01,99.31025
2014-09-01,99.31657
2014-10-01,99.32304
2014-11-01,99.33142
2014-12-01,99.34369
2015-01-01,99.36169
2015-02-01,99.38702
2015-03-01,99.42092
2015-04-01,99.46398
2015-05-01,99.51651
2015-06-01,99.57864
2015-07-01,99.65058
2015-08-01,99.73235
2015-09-01,99.82362
2015-10-01,99.92338
2015-11-01,100.02980
2015-12-01,100.14030
2016-01-01,100.25080
2016-02-01,100.35740
2016-03-01,100.45600
2016-04-01,100.54420
2016-05-01,100.61990
2016-06-01,100.68190
2016-07-01,100.72900
2016-08-01,100.76070
2016-09-01,100.77760
2016-10-01,100.78180
2016-11-01,100.77680
2016-12-01,100.76690
2017-01-01,100.75710
2017-02-01,100.75230
2017-03-01,100.75640
2017-04-01,100.77120
2017-05-01,100.79770
2017-06-01,100.83580
2017-07-01,100.88500
2017-08-01,100.94470
2017-09-01,101.01360
2017-10-01,101.08980
2017-11-01,101.17120
2017-12-01,101.25520
2018-01-01,101.33900
2018-02-01,101.41990
2018-03-01,101.49610
2018-04-01,101.56670
2018-05-01,101.63130
2018-06-01,101.69010
2018-07-01,101.74320
2018-08-01,101.79060
2018-09-01,101.83170
2018-10-01,101.86610
2018-11-01,101.89240
2018-12-01,101.90970
2019-01-01,101.91660
2019-02-01,101.91170
2019-03-01,101.89300
2019-04-01,101.85790
2019-05-01,101.80370
2019-06-01,101.72820
2019-07-01,101.63000
2019-08-01,101.50870
2019-09-01,101.36420
2019-10-01,101.19740
2019-11-01,101.00930
2019-12-01,100.80100
2020-01-01,100.57370
2020-02-01,100.32930
2020-03-01,98.39997
2020-04-01,88.65966
2020-05-01,83.90543
2020-06-01,88.11753
2020-07-01,92.33465
2020-08-01,96.48138
2020-09-01,97.75091
2020-10-01,98.69488
2020-11-01,98.64288
2020-12-01,98.62112
2021-01-01,98.62012
2021-02-01,98.79317
2021-03-01,96.96763
2021-04-01,95.14706
2021-05-01,93.31056
2021-06-01,95.23074
2021-07-01,97.07874
2021-08-01,98.81998
2021-09-01,98.86237
2021-10-01,98.90520
2021-11-01,98.94696
2021-12-01,98.98724
2022-01-01,99.02752
2022-02-01,99.07045
2022-03-01,99.11917
2022-04-01,99.17657
2022-05-01,99.24496
2022-06-01,99.32578
2022-07-01,99.41920
2022-08-01,99.52477
2022-09-01,99.64204
2022-10-01,99.77102
2022-11-01,99.91183
2022-12-01,100.06420
2023-01-01,100.22690
2023-02-01,100.39830
2023-03-01,100.57630
2023-04-01,100.75940
2023-05-01,100.94600
2023-06-01,101.13500
2023-07-01,101.32570
2023-08-01,101.51760
